node_id,r_m,z_m,T_K
0,0,0.02,797.6281023
1,0,0.025,797.6098039
2,0,0.03,797.4662459
3,0,0.035,797.3924701
4,0,0.04,796.8319198
5,0,0.045,686.8450112
6,0,0.05,598.3564044
7,0,0.055,526.1256644
8,0,0.06,465.8440763
9,0,0.065,414.8779686
10,0,0.07,371.1875717
11,0,0.075,333.3109898
12,0,0.08,300.3979995
13,0,0.085,300.1237446
14,0,0.09,300.0884736
15,0,0.095,300.0347851
16,0,0.1,300
17,0.0013080625846,0.0199571784648,797.6421964
18,0.00163507823075,0.024946473081,797.6033529
19,0.0019620938769,0.0299357676972,797.5137414
20,0.00228910952306,0.0349250623134,797.3603586
21,0.00261612516921,0.0399143569295,797.1772377
22,0.00294314081536,0.0449036515457,686.8187671
23,0.00327015646151,0.0498929461619,598.3950461
24,0.00359717210766,0.0548822407781,526.1234934
25,0.00392418775381,0.0598715353943,465.8462701
26,0.00425120339996,0.0648608300105,414.878627
27,0.00457821904611,0.0698501246267,371.1670105
28,0.00490523469226,0.0748394192429,333.3115725
29,0.00523225033841,0.0798287138591,300.152905
30,0.00555926598456,0.0848180084753,300.1208792
31,0.00588628163071,0.0898073030915,300.0707558
32,0.00621329727686,0.0947965977077,300.0341814
33,0.00654031292301,0.0997858923239,300
34,0.0026105238444,0.0198288972275,797.6378714
35,0.0032631548055,0.0247861215343,797.6060266
36,0.0039157857666,0.0297433458412,797.5013932
37,0.0045684167277,0.0347005701481,797.3774582
38,0.0052210476888,0.039657794455,797.1249155
39,0.0058736786499,0.0446150187618,686.8357182
40,0.006526309611,0.0495722430687,598.3838815
41,0.0071789405721,0.0545294673756,526.1250272
42,0.0078315715332,0.0594866916824,465.8450955
43,0.0084842024943,0.0644439159893,414.8770353
44,0.0091368334554,0.0694011402962,371.1717535
45,0.0097894644165,0.074358364603,333.2987044
46,0.0104420953776,0.0793155889099,300.2074279
47,0.0110947263387,0.0842728132168,300.1091723
48,0.0117473572998,0.0892300375236,300.0742725
49,0.0123999882609,0.0941872618305,300.0330826
50,0.013052619222,0.0991444861374,300
51,0.00390180644032,0.0196157056081,797.6427544
52,0.0048772580504,0.0245196320101,797.6043512
53,0.00585270966048,0.0294235584121,797.5174551
54,0.00682816127056,0.0343274848141,797.3710092
55,0.00780361288065,0.0392314112161,797.2347241
56,0.00877906449073,0.0441353376181,686.8308549
57,0.00975451610081,0.0490392640202,598.3983473
58,0.0107299677109,0.0539431904222,526.124781
59,0.011705419321,0.0588471168242,465.8459992
60,0.012680870931,0.0637510432262,414.8768925
61,0.0136563225411,0.0686549696282,371.1629416
62,0.0146317741512,0.0735588960302,333.2992023
63,0.0156072257613,0.0784628224323,300.1281648
64,0.0165826773714,0.0833667488343,300.1086787
65,0.0175581289815,0.0882706752363,300.0664791
66,0.0185335805915,0.0931746016383,300.0323852
67,0.0195090322016,0.0980785280403,300
68,0.00517638090205,0.0193185165258,797.6387
69,0.00647047612756,0.0241481456572,797.6070964
70,0.00776457135308,0.0289777747887,797.5043047
71,0.00905866657859,0.0338074039201,797.3860668
72,0.0103527618041,0.0386370330516,797.1439975
73,0.0116468570296,0.043466662183,686.8440153
74,0.0129409522551,0.0482962913145,598.387595
75,0.0142350474806,0.0531259204459,526.1260161
76,0.0155291427062,0.0579555495773,465.8450334
77,0.0168232379317,0.0627851787088,414.8757129
78,0.0181173331572,0.0676148078402,371.1678411
79,0.0194114283827,0.0724444369717,333.2944346
80,0.0207055236082,0.0772740661031,300.1984652
81,0.0219996188337,0.0821036952346,300.1052733
82,0.0232937140592,0.086933324366,300.0706653
83,0.0245878092847,0.0917629534975,300.031849
84,0.0258819045103,0.0965925826289,300
85,0.00642878930606,0.0189386025899,797.6436177
86,0.00803598663258,0.0236732532374,797.6056099
87,0.00964318395909,0.0284079038849,797.5201697
88,0.0112503812856,0.0331425545323,797.3773801
89,0.0128575786121,0.0378772051798,797.2440364
90,0.0144647759386,0.0426118558273,686.8367372
