node_id,r_m,z_m,T_K
181,0.005,0.04,300.7035062
182,0.01,0.04,300.6817045
183,0.015,0.04,300.6454128
184,0.02,0.04,300.5948256
185,0.025,0.04,300.5302871
186,0.03,0.04,300.4526523
187,0.035,0.04,300.3631655
188,0.04,0.04,300.264197
189,0.045,0.04,300.1584203
190,0.05,0.04,300.0512054
191,0.055,0.04,300.045547
192,0.06,0.04,300.034028
193,0.065,0.04,300.0178063
194,0.07,0.04,300
195,0,0.045,300.5718239
196,0.005,0.045,300.5655943
197,0.01,0.045,300.547021
198,0.015,0.045,300.5162331
199,0.02,0.045,300.4736239
200,0.025,0.045,300.4197354
201,0.03,0.045,300.3555939
202,0.035,0.045,300.2825612
203,0.04,0.045,300.202708
204,0.045,0.045,300.1187227
205,0.05,0.045,300.0334831
206,0.055,0.045,300.030487
207,0.06,0.045,300.0226269
208,0.065,0.045,300.0118636
209,0.07,0.045,300
210,0,0.05,300.4577432
211,0.005,0.05,300.4525015
212,0.01,0.05,300.4369376
213,0.015,0.05,300.4112284
214,0.02,0.05,300.3758589
215,0.025,0.05,300.3314413
216,0.03,0.05,300.2790447
217,0.035,0.05,300.2199347
218,0.04,0.05,300.156086
219,0.045,0.05,300.0894085
220,0.05,0.05,300.0236068
221,0.055,0.05,300.0204868
222,0.06,0.05,300.015248
223,0.065,0.05,300.007942
224,0.07,0.05,300
225,0,0.055,300.3645724
226,0.005,0.055,300.3602264
227,0.01,0.055,300.3473658
228,0.015,0.055,300.3261838
229,0.02,0.055,300.2971831
230,0.025,0.055,300.2609776
231,0.03,0.055,300.218563
232,0.035,0.055,300.1711107
233,0.04,0.055,300.1201926
234,0.045,0.055,300.0676914
235,0.05,0.055,300.0153336
236,0.055,0.055,300.013899
237,0.06,0.055,300.0102237
238,0.065,0.055,300.0053462
239,0.07,0.055,300
240,0,0.06,300.2887364
241,0.005,0.06,300.2851807
242,0.01,0.06,300.2746902
243,0.015,0.06,300.2574527
244,0.02,0.06,300.2339478
245,0.025,0.06,300.2047411
246,0.03,0.06,300.1707333
247,0.035,0.06,300.1329104
248,0.04,0.06,300.0926937
249,0.045,0.06,300.0513356
250,0.05,0.06,300.0113351
251,0.055,0.06,300.0094638
252,0.06,0.06,300.0070012
253,0.065,0.06,300.0036206
254,0.07,0.06,300
255,0,0.065,300.2270603
256,0.005,0.065,300.2241904
257,0.01,0.065,300.2157407
258,0.015,0.065,300.2018857
259,0.02,0.065,300.1830548
260,0.025,0.065,300.1597503
261,0.03,0.065,300.1327366
262,0.035,0.065,300.1028645
263,0.04,0.065,300.0712048
264,0.045,0.065,300.0389847
265,0.05,0.065,300.0072224
266,0.055,0.065,300.0065123
267,0.06,0.065,300.0047393
268,0.065,0.065,300.00247
269,0.07,0.065,300
270,0,0.07,300.1768298
271,0.005,0.07,300.1745389
272,0.01,0.07,300.1678312
273,0.015,0.07,300.1568468
274,0.02,0.07,300.1419652
275,0.025,0.07,300.1236068
276,0.03,0.07,300.1024182
277,0.035,0.07,300.0790726
278,0.04,0.07,300.0544989
279,0.045,0.07,300.0294715
280,0.05,0.07,300.0054974
281,0.055,0.07,300.0044846
282,0.06,0.07,300.0033044
283,0.065,0.07,300.0016978
284,0.07,0.07,300
285,0,0.075,300.1356759
286,0.005,0.075,300.1338898
287,0.01,0.075,300.1286507
288,0.015,0.075,300.1200976
289,0.02,0.075,300.1085393
290,0.025,0.075,300.0943305
291,0.03,0.075,300.0779822
292,0.035,0.075,300.0600463
293,0.04,0.075,300.0411877
294,0.045,0.075,300.0221424
295,0.05,0.075,300.0035043
296,0.055,0.075,300.0031492
297,0.06,0.075,300.0022752
298,0.065,0.075,300.0011822
299,0.07,0.075,300
300,0,0.08,300.1017271
301,0.005,0.08,300.1002686
302,0.01,0.08,300.0962949
303,0.015,0.08,300.0897706
304,0.02,0.08,300.0810335
305,0.025,0.08,300.0703119
306,0.03,0.08,300.0580425
307,0.035,0.08,300.0446061
308,0.04,0.08,300.0305697
309,0.045,0.08,300.0163422
310,0.05,0.08,300.0027825
311,0.055,0.08,300.0022357
312,0.06,0.08,300.0016423
313,0.065,0.08,300.0008368
314,0.07,0.08,300
315,0,0.085,300.0730756
316,0.005,0.085,300.0720464
317,0.01,0.085,300.0690526
318,0.015,0.085,300.0642908
319,0.02,0.085,300.0579281
320,0.025,0.085,300.0502081
321,0.03,0.085,300.0413966
322,0.035,0.085,300.0318081
323,0.04,0.085,300.0217836
324,0.045,0.085,300.0117351
325,0.05,0.085,300.001895
326,0.055,0.085,300.0016813
327,0.06,0.085,300.0011824
328,0.065,0.085,300.0006092
329,0.07,0.085,300
330,0,0.09,300.0496912
331,0.005,0.09,300.047699
332,0.01,0.09,300.0457762
333,0.015,0.09,300.0422313
334,0.02,0.09,300.0380546
335,0.025,0.09,300.0328442
336,0.03,0.09,300.0271466
337,0.035,0.09,300.020834
338,0.04,0.09,300.0144182
339,0.045,0.09,300.0078548
340,0.05,0.09,300.0019306
341,0.055,0.09,300.0012982
342,0.06,0.09,300.0009222
343,0.065,0.09,300.0004547
344,0.07,0.09,300
345,0,0.095,300.0276079
346,0.005,0.095,300.0266647
347,0.01,0.095,300.0245363
348,0.015,0.095,300.0225342
349,0.02,0.095,300.0200103
350,0.025,0.095,300.0173096
351,0.03,0.095,300.014263
352,0.035,0.095,300.0110774
353,0.04,0.095,300.0077374
354,0.045,0.095,300.0044742
355,0.05,0.095,300.0011968
